Datetime,Upstream,Downstream,Body,Actuator,Hyperbaric,Backseat,Spring Chamber,Primary Stem Seal,Secondary Stem Seal,Relief Port,BX Port,Flow Meter,Mass Spectrometer Mantissa,Mass Spectrometer,LVDT,Torque,Number Of Turns,Motor Speed,Ambient Temperature,Body Temperature,Monitor Temperature,Chamber Temperature,Hyperbaric Water Temperature,Close,Open,Cycle Count
01/10/2025 16:24:24.768,-1961594,-1961668,-1960498,-1960254,-1960275,-1959471,-1959950,-1960587,-1960246,-1960178,-1959496,-1953037,0,23,104,-239,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:24.778,-1961594,-1961668,-1960497,-1960253,-1960275,-1959471,-1959950,-1960586,-1960245,-1960179,-1959495,-1953009,0,39,65,-238,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:24.788,-1961593,-1961667,-1960497,-1960252,-1960274,-1959471,-1959950,-1960586,-1960245,-1960180,-1959495,-1953037,0,20,63,-244,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:24.798,-1961593,-1961667,-1960497,-1960251,-1960273,-1959472,-1959952,-1960586,-1960245,-1960180,-1959494,-1953041,0,5,83,-228,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:24.808,-1961593,-1961667,-1960496,-1960252,-1960273,-1959472,-1959952,-1960585,-1960246,-1960180,-1959494,-1953014,0,0,85,-230,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:24.818,-1961592,-1961667,-1960495,-1960253,-1960273,-1959472,-1959952,-1960585,-1960246,-1960180,-1959495,-1953013,0,0,78,-237,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:24.828,-1961591,-1961667,-1960494,-1960253,-1960272,-1959472,-1959951,-1960585,-1960245,-1960180,-1959495,-1953022,0,0,69,-231,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:24.838,-1961591,-1961668,-1960492,-1960252,-1960271,-1959472,-1959951,-1960587,-1960244,-1960180,-1959494,-1953033,0,4,81,-239,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:24.848,-1961591,-1961668,-1960491,-1960251,-1960271,-1959472,-1959952,-1960588,-1960244,-1960180,-1959494,-1953035,0,5,76,-224,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:24.858,-1961591,-1961668,-1960489,-1960251,-1960271,-1959472,-1959952,-1960588,-1960244,-1960180,-1959494,-1953008,0,0,52,-201,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:24.868,-1961592,-1961668,-1960489,-1960252,-1960270,-1959473,-1959951,-1960588,-1960243,-1960180,-1959495,-1953022,0,0,71,-223,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:24.878,-1961592,-1961667,-1960489,-1960252,-1960269,-1959473,-1959951,-1960588,-1960243,-1960180,-1959496,-1953049,0,0,65,-248,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
